date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2019-03-01,Y56,"LONDON COMMISSIONING REGION",265980,2797217.41,0,0
2019-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",270280,2740670.91,0,0
2019-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",315977,3752611.65,0,0
2019-03-01,Y62,"NORTH WEST COMMISSIONING REGION",366780,3514252.13,0,0
2019-03-01,Y60,"MIDLANDS COMMISSIONING REGION",440643,4824660.33,0,0
2019-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",463439,4076497.8,0,0
2019-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",230633,2330654.01,0,0
2019-04-01,Y56,"LONDON COMMISSIONING REGION",257139,2675027.36,0,0
2019-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",266672,2611815.54,0,0
2019-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",314614,3575319.44,0,0
2019-04-01,Y62,"NORTH WEST COMMISSIONING REGION",373228,3415930.4,0,0
2019-04-01,Y60,"MIDLANDS COMMISSIONING REGION",438483,4655341.6,0,0
2019-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",458582,3933987.13,0,0
2019-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",245275,2509754.78,0,0
2019-05-01,Y56,"LONDON COMMISSIONING REGION",272166,2893119.97,0,0
2019-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",282438,2799843.59,0,0
2019-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",332295,3821901.56,0,0
2019-05-01,Y62,"NORTH WEST COMMISSIONING REGION",395659,3673312.16,0,0
2019-05-01,Y60,"MIDLANDS COMMISSIONING REGION",467592,5015828.12,0,0
2019-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",485855,4229915.84,0,0
2019-06-01,Y58,"SOUTH WEST COMMISSIONING REGION",227659,2351919.06,0,0
2019-06-01,Y56,"LONDON COMMISSIONING REGION",251105,2702060.94,0,0
2019-06-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",262892,2616613.19,0,0
